star_designator,fix_designator,compulsory,star_required,location_designator
FIORA4,FIORA,no,yes,MROC
FIORA4,VILLA,no,yes,MROC
FIORA4,RIOBA,no,yes,MROC
FIORA4,AMBRO,no,yes,MROC
FIORA4,MATEO,no,yes,MROC
FIORA4,TOMAS,yes,yes,MROC
FIORA4,LOPEZ,yes,no,MROC
FIORA4,PARZA,yes,no,MROC
PARRITA4,TOMAS,yes,yes,MROC
PARRITA4,PARZA,yes,no,MROC
PARRITA4,ALTOS,no,yes,MROC
PARRITA4,ARUMA,no,yes,MROC
PARRITA4,TEREL,no,yes,MROC
PARRITA4,PARAI,no,yes,MROC
PARRITA4,PARRI,yes,yes,MROC
PARRITA4,ELTAS,no,yes,MROC
PARRITA4,ISEBA,yes,yes,MROC
PARZA3,VOR/DME LIB,yes,yes,MROC
PARZA3,EDERO,no,yes,MROC
PARZA3,VIVES,no,yes,MROC
PARZA3,PARZA,yes,yes,MROC
PARZA3,ULAPO,yes,yes,MROC
PARZA3,TILAR,no,yes,MROC
PARZA3,TOMAS,yes,no,MROC
