ICAO designator,aerodrome/heliport name,ICAO designator,aerodrome/heliport name,ICAO designator,aerodrome/heliport name,ICAO designator,aerodrome/heliport name
MHAC,ACENSA,,,,,,
MHAE,AEROCENTRO,,,,,,
MHAG,SUR AGROPECUARIA,,,,,,
MHAH,AUAS,,,,,,
MHAL,AGROPECUARIA LEPAGUARE,,,,,,
MHAN,SAN LUIS,,,,,,
MHAP,APALA,,,,,,
MHAR,ARCHAGA,,,,,,
MHAS,ALAS DEL SOCORRO,,,,,,
MHAT,AGUA CALIENTE,,,,,,
MHAU,HACIENDA ULUA,,,,,,
MHAY,ARASLAYA,,,,,,
MHAZ,ASERRADERO AZACUALPA,,,,,,
MHBA,BARBARETA,,,,,,
MHBC,SANTA BARBARA,,,,,,
MHBE,SAN BERNARDO,,,,,,
MHBJ,BIJAO,,,,,,
MHBL,BRUS LAGUNA,,,,,,
MHCB,COCOBILA,,,,,,
MHCI,CHIQUERITO,,,,,,
MHCL,COLON,,,,,,
MHCM,CHOLOMA,,,,,,
MHCN,CONCEPCION,,,,,,
MHCO,COCO,,,,,,
MHCP,COCHINO PEQUEÑO,,,,,,
MHCQ,CRISTO TE QUIERE,,,,,,
MHCR,CARTA,,,,,,
MHCS,COYOLES,,,,,,
MHCU,CAUQUIRA,,,,,,
MHDS,DIUNSA,,,,,,
MHDU,DURZUNA,,,,,,
MHEA,EL ARRAYAN,,,,,,
MHEC,EL CUBO,,,,,,
MHEI,LA AMERICA,,,,,,
MHEL,BARRIO EL ATERRIZAJE,,,,,,
MHEN,ASERRADERO EL ENCINO,,,,,,
MHEO,EL ALTO,,,,,,
MHEP,EL PENTÁGONO,,,,,,
MHER,ECONO RENT A CAR,,,,,,
MHEZ,LA ESPERANZA,,,,,,
MHFA,FINCA SAN ANTONIO,,,,,,
MHFC,FORT CAY,,,,,,
MHFD,FINCA 12,,,,,,
MHFI,FICOHSA,,,,,,
MHGA,CHUMBAGUA,,,,,,
MHGB,GUAYABILLAS,,,,,,
MHGC,GRUPO CARNOL,,,,,,
MHGE,EL AGUACATE,,,,,,
MHGG,SANTIAGO DE PURINGLA,,,,,,
MHGR,SANGRELAYA,,,,,,
MHGS,GRACIAS,,,,,,
MHGU,GUALGUIRE,,,,,,
MHGV,GREEN VALLEY,,,,,,
MHGY,GUAYAPE,,,,,,
MHHE,LA HERRADURA,,,,,,
MHHG,HACIENDA GALERAS,,,,,,
MHHS,HACIENDA SAN LAZARO,,,,,,
MHIC,ISLA DEL CISNE,,,,,,
MHIG,HIGUERITO CENTRAL,,,,,,
MHIN,MINAS DE ORO,,,,,,
MHIR,IRIONA,,,,,,
MHIZ,IZAPAN,,,,,,
MHJC,JOCON,,,,,,
MHJE,NUEVA JERUSALEM,,,,,,
MHJI,JICALAPA,,,,,,
MHJL,JUAN LINDO,,,,,,
MHJO,LA JOYA,,,,,,
MHJQ,JOYA DEL QUEBRACHO,,,,,,
MHLA,LA ALONDRA,,,,,,
MHLE,LA ESPERANZA,,,,,,
MHLF,FLEFIL,,,,,,
MHLG,LA GRECIA,,,,,,
MHLJ,LAS LAJAS,,,,,,
MHLL,LAS LOMAS,,,,,,
MHLN,LIMON,,,,,,
MHLP,MAPULACA,,,,,,
MHLR,LOS PINARES,,,,,,
MHLS,LAGUNA SECA,,,,,,
MHLT,LLANOS DEL TIGRE,,,,,,
MHLU,LUZ Y VIDA,,,,,,
MHLV,LAS VEGAS,,,,,,
MHMC,HACIENDA MONTECRISTO,,,,,,
MHMI,LAS MINITAS,,,,,,
MHML,MONTE LIBANO,,,,,,
MHMM,SAN ANTONIO MALERA,,,,,,
MHMN,MONICA,,,,,,
MHMO,SAN MARCOS DE OCOTEPEQUE,,,,,,
MHMP,MARCOS PEREZ,,,,,,
MHMS,LAS MARIAS,,,,,,
MHMT,MANTO,,,,,,
MHNA,CIUDAD NACAOME,,,,,,
MHNB,NOVENO BATALLON,,,,,,
MHNC,NUEVA CHOLUTECA,,,,,,
MHNJ,GUANAJA,,,,,,
MHNS,LOS LLANOS,,,,,,
MHNV,NUEVA OCOTEPEQUE,,,,,,
MHOC,CORATSA,,,,,,
MHOR,MOCORON,,,,,,
MHOT,OCOTALES,,,,,,
MHPA,BARRA DEL PATUCA,,,,,,
