gid,designator,route_type,flightrule,internatio,locationde,route_name,rnav_route,brgmag_fro,brgmag_bac,geo_distan,upper_limi,lower_limi,remarks,lateral_li,airspace_c,amdt_cycle,start_pnt,end_pnt,route_sequ,aip_dist,calc_dist,diff_dist,geo_dist_u,last_updat,last_upd_1,asq_lasted,asq_last_1,asq_locked,aip_hascha,aip_update,aip_upda_1,aip_lastch,route_isin,route_is_1,route_is_2,route_is_3,route_is_4,std_cruise,uuid
50,UZ512,RNAV,All,Both,FIR MHTG,UZ512 02,RNAV,160,340,107.9,UNL,FL200,CENAMER ACC SECTOR 1 FREQ 123.9 MHz,10 NM,A,1/MAY/14,KORTI,TALAG,02,107.90,107.50,0.38,A,,,,,Antonio.Locandro,f,,,,f,f,f,f,f,t,754db1b5-504b-f8ea-320c-07d12fe3ab68
51,UZ512,RNAV,All,Both,FIR MHTG,UZ512 03,RNAV,158,338,89.0,UNL,FL200,CENAMER ACC SECTOR 2 FREQ 124.1 MHz,10 NM,A,1/MAY/14,TALAG,ILESU,03,89.00,88.68,0.32,A,,,,,Antonio.Locandro,f,,,,f,f,f,f,f,t,252fc23e-0a5d-dce3-52e4-aa535d1babcf
2,UL203,RNAV,All,Both,FIR MHTG,UL203 01,RNAV,139,321,305.4,UNL,FL200,CENAMER ACC SECTOR 1 FREQ 123.9 MHz,10 NM,A,1/MAY/14,ALSAL,BETIS,01,305.40,305.30,0.05,A,,,,,Antonio.Locandro,f,,,,f,f,f,f,f,t,b19f92b1-ed91-5b60-fdf0-32f9d091e213
71,UZ512,RNAV,All,Both,FIR MHTG,UZ512 07,RNAV,158,338,30.0,UNL,FL200,CENAMER ACC SECTOR 2 FREQ 124.1 MHz,10 NM,A,1/MAY/14,LINAS,VOR/DME LIB,07,30.00,29.99,0.01,A,,,,,Antonio.Locandro,f,,,,f,f,f,f,f,t,3370b988-a2ba-7388-d27d-ac49ed0e42ee
72,UZ512,RNAV,All,Both,FIR MHTG,UZ512 08,RNAV,164,344,25.0,UNL,FL200,CENAMER ACC SECTOR 2 FREQ 124.1 MHz,10 NM,A,1/MAY/14,VOR/DME LIB,TONIO,08,25.00,25.01,0.01,A,,,,,Antonio.Locandro,f,,,,f,f,f,f,f,t,8b2ce37b-367f-5fe8-6f78-f33fb332d0e3
73,UZ512,RNAV,All,Both,FIR MHTG,UZ512 09,RNAV,164,344,47.1,UNL,FL200,CENAMER ACC SECTOR 2 FREQ 124.1 MHz,10 NM,A,1/MAY/14,TONIO,SELAK,09,47.10,47.11,0.01,A,,,,,Antonio.Locandro,f,,,,f,f,f,f,f,t,5f5241a2-3d3d-3dfc-f685-27ffd6e0ef4f
12,UL312,RNAV,All,Both,FIR MHTG,UL312 01,RNAV,132,313,252.8,UNL,FL200,"CENAMER RADIO FREQ HF 11396,10024,8918,6649,6577 KHz SELCAL",10 NM,A,1/MAY/14,KATIS,ROTRO,01,252.80,252.70,0.03,A,,,,,Antonio.Locandro,f,antonio.locandro,2014-08-01 14:37:56.02565,[designator_number: OLD:UL312 NEW:UL312] [brgmag_front: OLD:132 NEW:132] [brgmag_back: OLD:313 NEW:313] [geo_distance: OLD:252.8  NEW:252.8 ] [upper_limit: OLD:UNL NEW:UNL] [lower_limit: OLD:FL200 NEW:FL200] [airspace_classification: OLD:A NEW:A] [remark,f,f,f,f,f,t,7aa6cde0-f390-3725-6f58-b184aca0d268
70,UZ512,RNAV,All,Both,FIR MHTG,UZ512 06,RNAV,159,339,9.6,UNL,FL200,CENAMER ACC SECTOR 2 FREQ 124.1 MHz,10 NM,A,1/MAY/14,IMOLA,LINAS,06,9.60,9.63,0.03,A,,,,,Antonio.Locandro,f,,,,f,f,f,f,f,t,3c74ffca-c6c8-de9a-378e-9f160fe4f3d3
76,UZ512,RNAV,All,Both,FIR MHTG,UZ512 10,RNAV,164,344,59.8,UNL,FL200,CENAMER ACC SECTOR 2 FREQ 124.1 MHz,10 NM,A,1/MAY/14,SELAK,TIGIR,10,59.80,59.81,0.01,A,,,,,Antonio.Locandro,f,,,,f,f,f,f,f,t,45eafd7c-c6aa-27d0-1589-a35aec03d835
10,UL308,RNAV,All,Both,FIR MHTG,UL308 02,RNAV,142,323,219.5,UNL,FL200,"CENAMER ACC SECTOR 1 FREQ 123.9 MHz, CENAMER RADIO FREQ HF 11396,10024,8918,6649,6577 KHz SELCAL",10 NM,A,1/MAY/14,GEDIX,ISERU,02,219.50,219.40,0.03,A,,,,,Antonio.Locandro,f,antonio.locandro,2014-08-01 14:35:59.169842,[designator_number: OLD:UL308 NEW:UL308] [brgmag_front: OLD:142 NEW:142] [brgmag_back: OLD:323 NEW:323] [geo_distance: OLD:219.5  NEW:219.5 ] [upper_limit: OLD:UNL NEW:UNL] [lower_limit: OLD:FL200 NEW:FL200] [airspace_classification: OLD:A NEW:A] [remark,f,f,f,f,f,t,70df3087-606f-853d-15ed-f3637f59c312
9,UL308,RNAV,All,Both,FIR MHTG,UL308 01,RNAV,141,322,219.5,UNL,FL200,"CENAMER ACC SECTOR 1 FREQ 123.9 MHz, CENAMER RADIO FREQ HF 11396,10024,8918,6649,6577 KHz SELCAL",10 NM,A,1/MAY/14,ANREX,GEDIX,01,219.50,219.50,0.01,A,,,,,Antonio.Locandro,f,antonio.locandro,2014-08-01 14:34:19.774325,[designator_number: OLD:UL308 NEW:UL308] [brgmag_front: OLD:141 NEW:141] [brgmag_back: OLD:322 NEW:322] [geo_distance: OLD:219.5  NEW:219.5 ] [upper_limit: OLD:UNL NEW:UNL] [lower_limit: OLD:FL200 NEW:FL200] [airspace_classification: OLD:A NEW:A] [remark,f,f,f,f,f,t,5d09db36-31ed-653b-5580-5327a41acf5d
55,UZ30,RNAV,All,Both,FIR MHTG,UZ30 03,RNAV,152,332,53,UNL,FL195,CENAMER ACC SECTOR 2 FREQ 124.1 MHz,10 NM,A,1/MAY/14,NOROS,DORLA,03,53.00,52.77,0.23,A,antonio.locandro,2014-06-23 16:53:51.999303-06,,,Antonio.Locandro,f,antonio.locandro,2014-08-01 15:24:55.680772,[designator_number: OLD:UZ30 NEW:UZ30] [brgmag_front: OLD:152 NEW:152] [brgmag_back: OLD:332 NEW:332] [geo_distance: OLD:53  NEW:53 ] [upper_limit: OLD:UNL NEW:UNL] [lower_limit: OLD:FL195 NEW:FL195] [airspace_classification: OLD:A NEW:A] [remarks: OLD:C,f,f,f,f,f,t,713b080d-0265-57f9-a67c-0c2cf6ee1c0b
11,UL308,RNAV,All,Both,FIR MHTG,UL308 03,RNAV,143,324,424.7,UNL,FL200,"CENAMER RADIO FREQ HF 11396,10024,8918,6649,6577 KHz SELCAL",10 NM,A,1/MAY/14,ISERU,UGADI,03,424.70,424.60,0.04,A,,,,,Antonio.Locandro,f,antonio.locandro,2014-08-01 14:35:59.169842,[designator_number: OLD:UL308 NEW:UL308] [brgmag_front: OLD:143 NEW:143] [brgmag_back: OLD:324 NEW:324] [geo_distance: OLD:424.7  NEW:424.7 ] [upper_limit: OLD:UNL NEW:UNL] [lower_limit: OLD:FL200 NEW:FL200] [airspace_classification: OLD:A NEW:A] [remark,f,f,f,f,f,t,13732de6-2125-a40b-90ba-b45c99f775b3
14,UL312,RNAV,All,Both,FIR MHTG,UL312 03,RNAV,135,315,198.7,UNL,FL200,"CENAMER RADIO FREQ HF 11396,10024,8918,6649,6577 KHz SELCAL",10 NM,A,1/MAY/14,UKABO,LOGAL,03,198.70,198.60,0.01,A,,,,,Antonio.Locandro,f,antonio.locandro,2014-08-01 14:37:56.02565,[designator_number: OLD:UL312 NEW:UL312] [brgmag_front: OLD:135 NEW:135] [brgmag_back: OLD:315 NEW:315] [geo_distance: OLD:198.7  NEW:198.7 ] [upper_limit: OLD:UNL NEW:UNL] [lower_limit: OLD:FL200 NEW:FL200] [airspace_classification: OLD:A NEW:A] [remark,f,f,f,f,f,t,dc9d3682-627a-f72e-6b31-856ffd95d540
18,UL344,RNAV,All,Both,FIR MHTG,UL344 01,RNAV,136,317,219.4,UNL,FL200,"CENAMER RADIO FREQ HF 11396,10024,8918,6649,6577 KHz SELCAL",10 NM,A,1/MAY/14,NOTOS,POGAM,01,219.40,219.30,0.02,A,,,,,Antonio.Locandro,f,antonio.locandro,2014-08-01 14:40:14.146839,[designator_number: OLD:UL344 NEW:UL344] [brgmag_front: OLD:136 NEW:136] [brgmag_back: OLD:317 NEW:317] [geo_distance: OLD:219.4  NEW:219.4 ] [upper_limit: OLD:UNL NEW:UNL] [lower_limit: OLD:FL200 NEW:FL200] [airspace_classification: OLD:A NEW:A] [remark,f,f,f,f,f,t,a97e774d-d834-26da-f89d-3b28834b735b
13,UL312,RNAV,All,Both,FIR MHTG,UL312 02,RNAV,133,315,396.2,UNL,FL200,"CENAMER RADIO FREQ HF 11396,10024,8918,6649,6577 KHz SELCAL",10 NM,A,1/MAY/14,ROTRO,UKABO,02,396.20,396.10,0.04,A,,,,,Antonio.Locandro,f,antonio.locandro,2014-08-01 14:37:56.02565,[designator_number: OLD:UL312 NEW:UL312] [brgmag_front: OLD:133 NEW:133] [brgmag_back: OLD:315 NEW:315] [geo_distance: OLD:396.2  NEW:396.2 ] [upper_limit: OLD:UNL NEW:UNL] [lower_limit: OLD:FL200 NEW:FL200] [airspace_classification: OLD:A NEW:A] [remark,f,f,f,f,f,t,f42ee803-8677-a960-9918-faf9b9aec67f
