iap_designator,fix_designator,TYPE,location_designator
NORTH RNAV (RNP) RWY 02,MELVO,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG017,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG016,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG015,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG014,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG013,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG012,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG011,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG010,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG009,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG007,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG006,FB,MHTG
NORTH RNAV (RNP) RWY 02,TG01R,ARC,MHTG
NORTH RNAV (RNP) RWY 02,TG02R,ARC,MHTG
NORTH RNAV (RNP) RWY 02,TG03R,ARC,MHTG
